# GeoID, y_pred, y_predprob
57039,1,0.67296
57040,1,0.64473
57041,0,0.46315
57042,0,0.46315
57043,0,0.46315
57044,1,0.54414
57045,1,0.61967
57046,1,0.66226
57047,1,0.75753
57048,1,0.75753
57049,1,0.75753
57050,1,0.69870
57051,1,0.69870
57052,1,0.69870
57053,1,0.72613
57054,1,0.69870
57055,1,0.66307
57056,1,0.75753
57057,1,0.69870
57058,1,0.75753
57059,1,0.69870
57060,1,0.69870
57061,1,0.61967
57062,1,0.56176
57063,1,0.58991
57064,0,0.46315
57065,1,0.64349
57066,1,0.75753
57067,1,0.68132
57068,1,0.69870
57069,1,0.69870
57070,1,0.69870
57071,1,0.68132
57072,1,0.60433
57073,1,0.61967
57074,1,0.65313
57075,0,0.46315
57076,1,0.54223
57077,0,0.46315
57078,1,0.51259
57079,0,0.46315
57080,1,0.54223
57081,1,0.58991
57082,1,0.53720
57083,1,0.58991
57084,1,0.58991
57085,1,0.58991
57086,1,0.58991
57087,1,0.54223
57088,1,0.54223
57089,1,0.61967
57090,1,0.66226
57091,1,0.69870
57092,1,0.65313
57093,1,0.65313
57094,0,0.46885
57123,1,0.74229
57124,1,0.63982
57125,1,0.61967
57126,1,0.58335
57127,1,0.58348
57128,1,0.64473
57129,1,0.74229
57130,1,0.74229
57131,1,0.75753
57132,1,0.69870
57133,1,0.75753
57134,1,0.69870
57135,1,0.69870
57136,1,0.66307
57137,1,0.58292
57138,1,0.58292
57139,1,0.65313
57140,1,0.70530
57141,1,0.69870
57142,1,0.69870
57143,1,0.75753
57144,1,0.66307
57145,1,0.69870
57146,1,0.69870
57147,1,0.74229
57148,1,0.64349
57149,1,0.70530
57150,0,0.48893
57151,1,0.50940
57152,1,0.60727
57153,1,0.66226
57154,1,0.66226
57155,1,0.68019
57156,1,0.74229
57157,1,0.69870
57158,1,0.69870
57159,1,0.68132
57160,1,0.56176
57161,1,0.56176
57162,1,0.54223
57163,0,0.46315
57164,0,0.46315
57165,1,0.54223
57166,1,0.58991
57167,1,0.58991
57168,1,0.55637
57169,0,0.44653
57170,1,0.53720
57171,1,0.52219
57172,0,0.46315
57173,1,0.58991
57174,1,0.54223
57175,1,0.58991
57176,1,0.71754
57177,1,0.70530
57178,1,0.69870
57179,1,0.72613
57180,1,0.65313
57181,1,0.57265
57212,1,0.63982
57213,1,0.74229
57214,1,0.66226
57215,1,0.74229
57216,1,0.66226
57217,1,0.75753
57218,1,0.69870
57219,1,0.69870
57220,1,0.68132
57221,1,0.66307
57222,1,0.68132
57223,1,0.69870
57225,1,0.75753
57226,1,0.63982
57227,1,0.56176
57228,1,0.65313
57229,1,0.65313
57230,1,0.63810
57231,1,0.74229
57232,1,0.72613
57233,1,0.75753
57234,1,0.68132
57235,1,0.68019
57236,1,0.74229
57237,1,0.69870
57238,1,0.69870
57239,1,0.64349
57240,1,0.65313
57241,0,0.48893
57242,1,0.55637
57243,1,0.58991
57244,1,0.60728
57245,1,0.61967
57246,1,0.70530
57247,1,0.75753
57248,1,0.69870
57249,1,0.75753
57250,1,0.58292
57251,1,0.56176
57252,1,0.58991
57253,1,0.58991
57254,0,0.48700
57255,0,0.46315
57256,1,0.57118
57257,1,0.58991
57258,0,0.46315
57259,0,0.44653
57260,0,0.46315
57261,1,0.58991
57262,0,0.48700
57263,0,0.48868
57264,1,0.58991
57265,1,0.56176
57266,1,0.74229
57267,1,0.66307
57268,1,0.75753
57269,1,0.70530
57270,1,0.56176
57271,1,0.59074
57301,1,0.68132
57302,1,0.72613
57303,1,0.69870
57304,1,0.69870
57305,1,0.68132
57306,1,0.69870
57307,1,0.68132
57308,1,0.70530
57309,1,0.70530
57310,1,0.69870
57311,1,0.69870
57312,1,0.69870
57313,1,0.75753
57314,1,0.65313
57315,1,0.64473
57316,0,0.46315
57317,1,0.54414
57318,1,0.58348
57319,1,0.70530
57320,1,0.60433
57321,1,0.67296
57322,1,0.70530
57323,1,0.74229
57324,1,0.70530
57325,1,0.68132
57326,1,0.74229
57327,1,0.70530
57328,1,0.58348
57329,1,0.65313
57330,1,0.61967
57331,0,0.48893
57332,1,0.54223
57333,1,0.54223
57334,1,0.66226
57335,1,0.61967
57336,1,0.63982
57337,1,0.75753
57338,1,0.68132
57339,1,0.66171
57340,0,0.48700
57341,1,0.54223
57342,0,0.46315
57343,1,0.57118
57344,1,0.57118
57345,1,0.58991
57346,0,0.48700
57347,1,0.55562
57348,1,0.57118
57349,1,0.54223
57350,0,0.46315
57351,1,0.53518
57352,1,0.66226
57353,1,0.56176
57354,1,0.69870
57355,1,0.69870
57356,1,0.69870
57357,1,0.71963
57358,1,0.56176
57359,0,0.45264
57387,1,0.74229
57388,1,0.75753
57389,1,0.68132
57390,1,0.74229
57391,1,0.69870
57392,1,0.68132
57393,1,0.63982
57394,1,0.64349
57395,1,0.69870
57396,1,0.69870
57397,1,0.70530
57398,1,0.66226
57399,1,0.67296
57400,1,0.64473
57401,0,0.46315
57402,1,0.58991
57403,1,0.56176
57404,1,0.70530
57405,1,0.68132
57406,1,0.70530
57407,1,0.56176
57408,1,0.70044
57409,1,0.66226
57410,1,0.64349
57411,1,0.75753
57412,1,0.70530
57413,1,0.74229
57414,1,0.58292
57415,1,0.65313
57416,1,0.56176
57417,1,0.58348
57418,0,0.48893
57419,0,0.46315
57420,1,0.58991
57421,1,0.56176
57422,1,0.67296
57423,1,0.69870
57424,1,0.67296
57425,1,0.61967
57426,1,0.58348
57427,1,0.58991
57428,0,0.46315
57429,1,0.58991
57430,1,0.53720
57431,1,0.57118
57432,1,0.53720
57433,1,0.57118
57434,0,0.46315
57435,1,0.58991
57436,1,0.64349
57437,1,0.66226
57438,1,0.70530
57439,1,0.63551
57440,1,0.72613
57441,1,0.68132
57442,1,0.72613
57443,1,0.74229
57444,0,0.45715
57445,0,0.40111
57471,1,0.63982
57472,1,0.66307
57473,1,0.72613
57474,1,0.64349
57475,1,0.70530
57476,1,0.63982
57477,1,0.61967
57478,1,0.66226
57479,1,0.69870
57480,1,0.63982
57481,1,0.67296
57482,1,0.61967
57483,1,0.56176
57484,1,0.58991
57485,1,0.58991
57486,0,0.46315
57487,1,0.56176
57488,1,0.65313
57489,1,0.70530
57490,1,0.61967
57491,1,0.66226
57492,1,0.66226
57493,1,0.68132
57494,1,0.69870
57495,1,0.72613
57496,1,0.65313
57497,1,0.69870
57498,1,0.69870
57499,1,0.69870
57500,1,0.63982
57501,1,0.67296
57502,1,0.61967
57503,0,0.48700
57504,0,0.48893
57505,1,0.65313
57506,1,0.75753
57507,1,0.69870
57508,1,0.74229
57509,1,0.72613
57510,1,0.66226
57511,0,0.48868
57512,1,0.61443
57513,1,0.58991
57514,0,0.46146
57515,0,0.46146
57516,1,0.57118
57517,1,0.57118
57518,1,0.58991
57519,1,0.58880
57520,1,0.61967
57521,1,0.68132
57522,1,0.66307
57523,1,0.65313
57524,1,0.65313
57525,1,0.69870
57526,1,0.68078
57527,1,0.75753
57528,0,0.37013
57529,0,0.40111
57551,1,0.58348
57552,1,0.61967
57553,1,0.61967
57554,1,0.61967
57555,1,0.61967
57556,1,0.61967
57557,1,0.64349
57558,1,0.68019
57559,1,0.69870
57560,1,0.75753
57561,1,0.68132
57562,1,0.70186
57563,0,0.46315
57564,0,0.46315
57565,0,0.46315
57566,0,0.48700
57567,0,0.48700
57568,1,0.62415
57569,1,0.56176
57570,1,0.70044
57571,1,0.58959
57572,1,0.66226
57573,1,0.68132
57574,1,0.63982
57575,1,0.63982
57576,1,0.67296
57577,1,0.72613
57578,1,0.67296
57579,1,0.67296
57580,1,0.75753
57581,1,0.69870
57582,1,0.67296
57583,0,0.48893
57584,1,0.62415
57585,1,0.58348
57586,1,0.67296
57587,1,0.57265
57588,1,0.69870
57589,1,0.68132
57590,1,0.61967
57591,0,0.48893
57592,1,0.58991
57593,1,0.58991
57594,0,0.45264
57595,0,0.39860
57596,0,0.46146
57597,1,0.57118
57598,1,0.55562
57599,1,0.56176
57600,1,0.67296
57601,1,0.71963
57602,1,0.70530
57603,1,0.70530
57604,1,0.57265
57605,1,0.75753
57606,1,0.63982
57607,1,0.74229
57608,0,0.48826
57609,0,0.45264
57631,1,0.60728
57632,1,0.58991
57633,1,0.58991
57634,0,0.46315
57635,1,0.58348
57636,1,0.61967
57637,1,0.66307
57638,1,0.75753
57639,1,0.75753
57640,1,0.69870
57641,1,0.64349
57642,1,0.54223
57643,1,0.58991
57644,0,0.48700
57645,0,0.46315
57646,1,0.54223
57647,0,0.46315
57648,1,0.58991
57649,0,0.48700
57650,1,0.66226
57651,1,0.70530
57652,1,0.68132
57653,1,0.60433
57654,1,0.67296
57655,1,0.58348
57656,1,0.65313
57657,1,0.65313
57658,1,0.67296
57659,1,0.69870
57660,1,0.69870
57661,1,0.65313
57662,0,0.47939
57663,1,0.52380
57664,1,0.65313
57665,1,0.63551
57666,1,0.63551
57667,1,0.70530
57668,1,0.69870
57669,1,0.61967
57670,0,0.46315
57671,0,0.46315
57672,1,0.58991
57673,0,0.46693
57674,0,0.40111
57675,0,0.39860
57676,0,0.46146
57677,1,0.55311
57678,1,0.56176
57679,1,0.66307
57680,1,0.60433
57681,1,0.70530
57682,1,0.70530
57683,1,0.54186
57684,1,0.72613
57685,1,0.70530
57686,1,0.66226
57687,1,0.72613
57688,0,0.48826
57703,1,0.54223
57704,0,0.46315
57705,1,0.58348
57706,1,0.61967
57707,1,0.73573
57708,1,0.69870
57709,1,0.75753
57710,1,0.69870
57711,1,0.70530
57712,1,0.68019
57713,1,0.65251
57714,0,0.48700
57715,1,0.58991
57716,1,0.58991
57717,0,0.46315
57718,0,0.46315
57719,0,0.46315
57720,1,0.54223
57721,1,0.67853
57722,1,0.66226
57723,1,0.74229
57724,1,0.70530
57725,1,0.67853
57726,0,0.48700
57727,1,0.64473
57728,1,0.63810
57729,1,0.70530
57730,1,0.69870
57731,1,0.67296
57732,1,0.65313
57733,1,0.55481
57734,1,0.60594
